TotalBudget,ExperienceRating,AmountPaid,BalanceAmount,projAgeYrs,logAnnualBudget,paymentRatio,deptActive,statusProjEnc,dept_Agriculture,dept_Education,dept_Energy,dept_Health,dept_Infrastructure,dept_Water & Sanitation,ptype_Bridge,ptype_Dam,ptype_Flyover,ptype_Grid Station,ptype_Hospital,ptype_Irrigation Canal,ptype_Road Construction,ptype_Rural Health Centre,ptype_School Building,ptype_Solar Plant,ptype_University Building,ptype_Water Treatment Plant,loc_Abbottabad,loc_Bahawalpur,loc_Dera Ghazi Khan,loc_Faisalabad,loc_Gujranwala,loc_Gwadar,loc_Hyderabad,loc_Islamabad,loc_Karachi,loc_Lahore,loc_Mardan,loc_Multan,loc_Peshawar,loc_Quetta,loc_Rawalpindi,loc_Sargodha,loc_Sialkot,loc_Sukkur,loc_Swat,loc_Turbat,CompanyName,CompanyEncoded,SimilarProjectCost
435.82,3.99,192.7,243.12,4.87,11.3504,0.4422,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,China State Construction,6,1968.61
612.54,1.89,369.75,242.79,12.54,10.6454,0.6036,1,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Descon Engineering,3,1673.625
661.64,2.46,564.27,97.37,9.79,11.2252,0.8528,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,SMS Infrastructure,12,2058.915
1248.6,3.99,892.64,355.96,4.62,11.3504,0.7149,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Techno Construction,14,4977.78
848.36,4.47,578.34,270.02,14.96,11.0021,0.6817,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Saif Group,10,1242.33
506.94,4.9,176.38,330.56,6.04,10.4631,0.3479,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FWO-CCECC JV,7,1429.77
217.24,1.89,90.54,126.7,3.79,11.3504,0.4168,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,SMS Infrastructure,12,1242.33
1692.88,1.89,711.72,981.16,12.05,10.6454,0.4204,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Habib Construction,4,1919.855
1951.99,3.99,787.16,1164.83,9.12,10.4631,0.4033,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,China State Construction,6,2610.05
2051.5,4.9,932.51,1118.99,8.21,11.0021,0.4546,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Al-Shafi Construction,9,1615.0700000000002
1532.89,3.99,279.74,1253.15,4.87,11.2252,0.1825,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Nespak,2,2156.47
685.03,4.9,399.03,286.0,15.46,10.4631,0.5825,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,China State Construction,6,3429.195
2302.19,3.99,1252.86,1049.33,9.12,11.2252,0.5442,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Saif Group,10,2126.46
4290.43,3.99,2019.44,2270.99,7.29,10.6454,0.4707,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saif Group,10,4108.48
6090.18,2.46,5534.33,555.85,11.21,11.3504,0.9087,1,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FWO-CCECC JV,7,3717.995
5622.72,1.64,2763.11,2859.61,12.88,10.4631,0.4914,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Habib Construction,4,5622.72
1282.26,1.89,945.96,336.3,14.38,11.3504,0.7377,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Descon Engineering,3,1176.92
1277.21,2.33,1106.32,170.89,12.54,10.6454,0.8662,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,FWO-CCECC JV,7,1845.78
2780.57,3.46,2417.39,363.18,5.54,11.3504,0.8694,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,FWO-CCECC JV,7,1118.585
2356.53,4.9,1189.19,1167.34,15.72,10.24,0.5046,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Nespak,2,2058.915
7605.77,3.57,6524.8,1080.97,15.46,10.6454,0.8579,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Izhar Construction,5,5772.795
1145.63,4.03,697.36,448.27,15.05,10.4631,0.6087,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Habib Construction,4,1123.43
9379.71,3.99,3910.71,5469.0,5.45,10.24,0.4169,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,National Logistics Cell,1,5320.08
1871.05,2.46,544.32,1326.73,11.12,10.24,0.2909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FWO-CCECC JV,7,2344.76
2671.34,2.4,636.47,2034.87,15.05,11.2252,0.2383,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zahir Khan & Brothers,11,2360.62
9100.7,2.46,705.7,8395.0,5.87,11.2252,0.0775,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giga Construction,13,4871.98
7203.84,3.57,5055.9,2147.94,12.05,11.2252,0.7018,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Izhar Construction,5,2505.49
4582.97,4.9,1089.48,3493.49,2.79,11.3504,0.2377,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,National Logistics Cell,1,3429.195
9751.45,3.46,9527.55,223.9,3.54,11.0021,0.977,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Zahir Khan & Brothers,11,3496.105
8121.23,2.84,1131.39,6989.84,13.29,11.3504,0.1393,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Habib Construction,4,1786.335
2465.2,2.84,749.06,1716.14,12.63,10.6454,0.3039,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Frontier Works Organization,0,1672.3400000000001
2943.83,4.47,845.09,2098.74,5.54,11.0021,0.2871,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Zahir Khan & Brothers,11,2508.915
7421.18,4.03,6701.49,719.69,14.46,11.3504,0.903,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Al-Shafi Construction,9,4977.78
9292.96,3.99,952.76,8340.2,4.71,11.3504,0.1025,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Izhar Construction,5,3002.415
1531.23,4.03,872.81,658.42,10.38,10.4631,0.57,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SMS Infrastructure,12,1869.27
6347.39,4.03,1509.58,4837.81,9.37,11.2252,0.2378,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zahir Khan & Brothers,11,4984.02
6918.46,2.33,2136.79,4781.67,10.63,11.2252,0.3089,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M/S Tariq Builders,8,6369.46
2423.56,3.57,1514.43,909.13,14.96,11.0021,0.6249,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frontier Works Organization,0,2461.1800000000003
2095.14,4.03,84.54,2010.6,5.45,10.24,0.0404,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Saif Group,10,2095.14
